tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2/2/2020,UNTUNG JAWA,14,13,284,217
2/3/2020,UNTUNG JAWA,9,8,82,99
2/4/2020,UNTUNG JAWA,7,8,82,74
2/5/2020,UNTUNG JAWA,11,10,118,98
2/6/2020,UNTUNG JAWA,10,9,123,102
2/7/2020,UNTUNG JAWA,9,8,133,127
2/8/2020,UNTUNG JAWA,10,10,159,193
2/9/2020,UNTUNG JAWA,12,12,338,330
2/10/2020,UNTUNG JAWA,9,8,106,116
2/11/2020,UNTUNG JAWA,9,8,110,92
2/12/2020,UNTUNG JAWA,10,9,132,121
2/13/2020,UNTUNG JAWA,9,8,100,106
2/14/2020,UNTUNG JAWA,9,8,109,109
2/15/2020,UNTUNG JAWA,16,17,256,339
2/16/2020,UNTUNG JAWA,12,11,338,223
2/17/2020,UNTUNG JAWA,10,9,111,125
2/18/2020,UNTUNG JAWA,9,8,98,97
2/19/2020,UNTUNG JAWA,10,10,86,102
2/20/2020,UNTUNG JAWA,8,8,93,60
2/21/2020,UNTUNG JAWA,9,8,106,110
2/22/2020,UNTUNG JAWA,12,13,200,231
2/23/2020,UNTUNG JAWA,11,11,287,285
2/24/2020,UNTUNG JAWA,4,4,13,14
2/25/2020,UNTUNG JAWA,7,7,66,78
2/26/2020,UNTUNG JAWA,7,7,70,77
2/27/2020,UNTUNG JAWA,9,9,88,90
2/28/2020,UNTUNG JAWA,8,8,70,87
2/29/2020,UNTUNG JAWA,13,12,243,271
2/1/2020,LANCANG,3,3,30,46
2/2/2020,LANCANG,3,3,66,44
2/3/2020,LANCANG,5,5,67,82
2/4/2020,LANCANG,5,5,57,81
2/5/2020,LANCANG,5,5,46,85
2/6/2020,LANCANG,5,5,60,69
2/7/2020,LANCANG,5,5,63,69
2/8/2020,LANCANG,5,5,74,110
2/9/2020,LANCANG,5,5,68,61
2/10/2020,LANCANG,5,5,55,67
2/11/2020,LANCANG,5,5,43,62
2/12/2020,LANCANG,5,5,85,68
2/13/2020,LANCANG,5,5,53,48
2/14/2020,LANCANG,5,5,64,52
2/15/2020,LANCANG,5,5,54,71
2/16/2020,LANCANG,5,5,55,40
2/17/2020,LANCANG,5,5,47,45
2/18/2020,LANCANG,5,5,45,34
2/19/2020,LANCANG,5,5,41,41
2/20/2020,LANCANG,5,5,40,37
2/21/2020,LANCANG,5,5,54,44
2/22/2020,LANCANG,5,5,45,80
2/23/2020,LANCANG,5,5,63,42
2/24/2020,LANCANG,4,4,32,37
2/25/2020,LANCANG,5,5,48,45
2/26/2020,LANCANG,5,5,36,44
2/27/2020,LANCANG,5,5,47,36
2/28/2020,LANCANG,5,5,55,43
2/29/2020,LANCANG,5,5,40,40
2/1/2020,PARI,4,6,71,671
2/2/2020,PARI,9,4,684,74
2/3/2020,PARI,4,4,71,122
2/4/2020,PARI,4,4,103,137
2/5/2020,PARI,5,4,97,104
2/6/2020,PARI,4,4,132,115
2/7/2020,PARI,4,4,116,129
2/8/2020,PARI,4,8,80,641
2/9/2020,PARI,9,6,829,512
2/10/2020,PARI,5,5,190,183
2/11/2020,PARI,4,4,158,129
2/12/2020,PARI,4,4,148,84
2/13/2020,PARI,4,4,94,38
2/14/2020,PARI,4,7,181,196
2/15/2020,PARI,6,10,216,689
2/16/2020,PARI,7,4,684,83
2/17/2020,PARI,4,5,99,97
2/18/2020,PARI,4,5,101,163
2/19/2020,PARI,4,4,124,52
2/20/2020,PARI,4,4,58,73
2/21/2020,PARI,4,4,40,136
2/22/2020,PARI,4,10,85,546
2/23/2020,PARI,8,4,573,130
2/24/2020,PARI,4,3,46,102
2/25/2020,PARI,4,4,108,91
2/26/2020,PARI,4,4,89,45
2/27/2020,PARI,4,4,44,63
2/28/2020,PARI,5,5,68,263
2/29/2020,PARI,5,10,278,848
2/1/2020,TIDUNG/PAYUNG,5,6,168,677
2/2/2020,TIDUNG/PAYUNG,6,5,615,77
2/3/2020,TIDUNG/PAYUNG,4,4,70,269
2/4/2020,TIDUNG/PAYUNG,3,4,46,88
2/5/2020,TIDUNG/PAYUNG,4,4,150,83
2/6/2020,TIDUNG/PAYUNG,4,4,92,98
2/7/2020,TIDUNG/PAYUNG,6,5,167,150
2/8/2020,TIDUNG/PAYUNG,6,11,94,646
2/9/2020,TIDUNG/PAYUNG,8,4,594,177
2/10/2020,TIDUNG/PAYUNG,4,4,105,191
2/11/2020,TIDUNG/PAYUNG,5,4,88,116
2/12/2020,TIDUNG/PAYUNG,4,4,137,144
2/13/2020,TIDUNG/PAYUNG,4,4,85,71
2/14/2020,TIDUNG/PAYUNG,6,5,127,114
2/15/2020,TIDUNG/PAYUNG,3,7,69,565
2/16/2020,TIDUNG/PAYUNG,4,8,659,121
2/17/2020,TIDUNG/PAYUNG,3,4,92,114
2/18/2020,TIDUNG/PAYUNG,4,3,88,53
2/19/2020,TIDUNG/PAYUNG,3,4,41,138
2/20/2020,TIDUNG/PAYUNG,4,4,150,166
2/21/2020,TIDUNG/PAYUNG,5,3,128,94
2/22/2020,TIDUNG/PAYUNG,3,8,59,625
2/23/2020,TIDUNG/PAYUNG,7,2,582,74
2/24/2020,TIDUNG/PAYUNG,2,4,29,286
2/25/2020,TIDUNG/PAYUNG,4,4,243,47
2/26/2020,TIDUNG/PAYUNG,4,4,51,271
2/27/2020,TIDUNG/PAYUNG,3,5,252,52
2/28/2020,TIDUNG/PAYUNG,4,4,114,109
2/29/2020,TIDUNG/PAYUNG,3,11,66,807
2/1/2020,PRAMUKA/PANGGANG,5,7,137,367
2/2/2020,PRAMUKA/PANGGANG,5,4,290,63
2/3/2020,PRAMUKA/PANGGANG,4,4,220,93
2/4/2020,PRAMUKA/PANGGANG,4,4,56,14
2/5/2020,PRAMUKA/PANGGANG,5,5,95,131
2/6/2020,PRAMUKA/PANGGANG,5,5,148,81
2/7/2020,PRAMUKA/PANGGANG,5,5,151,98
2/8/2020,PRAMUKA/PANGGANG,5,6,93,387
2/9/2020,PRAMUKA/PANGGANG,6,5,211,211
2/10/2020,PRAMUKA/PANGGANG,5,5,125,151
2/11/2020,PRAMUKA/PANGGANG,5,5,76,120
2/12/2020,PRAMUKA/PANGGANG,5,5,127,101
2/13/2020,PRAMUKA/PANGGANG,4,6,42,112
2/14/2020,PRAMUKA/PANGGANG,5,5,132,227
2/15/2020,PRAMUKA/PANGGANG,6,7,124,535
2/16/2020,PRAMUKA/PANGGANG,9,5,592,121
2/17/2020,PRAMUKA/PANGGANG,4,5,108,126
2/18/2020,PRAMUKA/PANGGANG,5,5,88,183
2/19/2020,PRAMUKA/PANGGANG,5,5,141,177
2/20/2020,PRAMUKA/PANGGANG,5,5,131,177
2/21/2020,PRAMUKA/PANGGANG,5,5,112,132
2/22/2020,PRAMUKA/PANGGANG,5,5,79,84
2/23/2020,PRAMUKA/PANGGANG,6,5,240,114
2/24/2020,PRAMUKA/PANGGANG,3,3,113,155
2/25/2020,PRAMUKA/PANGGANG,5,6,94,116
2/26/2020,PRAMUKA/PANGGANG,4,4,49,67
2/27/2020,PRAMUKA/PANGGANG,5,4,141,81
